Date,Month,Year,Site,Focal,Rep,Neighbor,Assemblage,Site_ID,Plant ,Biomass,Total.Biomass
9/7/17,September,2017,SDL,cord,C-10,absent,cordgrass,SDL2,cordgrass,179.4059,179.4059
9/7/17,September,2017,SDL,cord,C-9,absent,cordgrass,SDL2,cordgrass,196.6297,196.6297
9/7/17,September,2017,SDL,cord,C-8,absent,cordgrass,SDL2,cordgrass,144.2309,144.2309
9/7/17,September,2017,SDL,cord,C-7,absent,cordgrass,SDL2,cordgrass,161.0021,161.0021
9/7/17,September,2017,SDL,cord,C-6,absent,cordgrass,SDL2,cordgrass,131.6331,131.6331
9/7/17,September,2017,SDL,cord,C-1,absent,cordgrass,SDL2,cordgrass,166.5949,166.5949
9/7/17,September,2017,SDL,cord,C-2,absent,cordgrass,SDL2,cordgrass,145.078,145.078
9/7/17,September,2017,SDL,cord,C-3,absent,cordgrass,SDL2,cordgrass,275.5003,275.5003
9/7/17,September,2017,SDL,cord,C-4,absent,cordgrass,SDL2,cordgrass,261.7013,261.7013
9/7/17,September,2017,SDL,cord,C-5,absent,cordgrass,SDL2,cordgrass,283.7658,283.7658
9/7/17,September,2017,SDL,cord,C-10,absent,cordgrass,SDL2,pickleweed,0,179.4059
9/7/17,September,2017,SDL,cord,C-9,absent,cordgrass,SDL2,pickleweed,0,196.6297
9/7/17,September,2017,SDL,cord,C-8,absent,cordgrass,SDL2,pickleweed,0,144.2309
9/7/17,September,2017,SDL,cord,C-7,absent,cordgrass,SDL2,pickleweed,0,161.0021
9/7/17,September,2017,SDL,cord,C-6,absent,cordgrass,SDL2,pickleweed,0,131.6331
9/7/17,September,2017,SDL,cord,C-1,absent,cordgrass,SDL2,pickleweed,0,166.5949
9/7/17,September,2017,SDL,cord,C-2,absent,cordgrass,SDL2,pickleweed,0,145.078
9/7/17,September,2017,SDL,cord,C-3,absent,cordgrass,SDL2,pickleweed,0,275.5003
9/7/17,September,2017,SDL,cord,C-4,absent,cordgrass,SDL2,pickleweed,0,261.7013
9/7/17,September,2017,SDL,cord,C-5,absent,cordgrass,SDL2,pickleweed,0,283.7658
9/8/16,September,2016,KF,cord,C-1,absent,cordgrass,KF1,cordgrass,77.6,77.6
9/8/16,September,2016,KF,cord,C-2,absent,cordgrass,KF1,cordgrass,90.7,90.7
9/8/16,September,2016,KF,cord,C-3,absent,cordgrass,KF1,cordgrass,12.4,12.4
9/8/16,September,2016,KF,cord,C-4,absent,cordgrass,KF1,cordgrass,19.8,19.8
9/8/16,September,2016,KF,cord,C-5,absent,cordgrass,KF1,cordgrass,65.2,65.2
9/8/16,September,2016,KF,cord,C-6,absent,cordgrass,KF1,cordgrass,99.8,99.8
9/8/16,September,2016,KF,cord,C-7,absent,cordgrass,KF1,cordgrass,79,79
9/8/16,September,2016,KF,cord,C-1,absent,cordgrass,KF1,pickleweed,0,77.6
9/8/16,September,2016,KF,cord,C-2,absent,cordgrass,KF1,pickleweed,0,90.7
9/8/16,September,2016,KF,cord,C-3,absent,cordgrass,KF1,pickleweed,0,12.4
9/8/16,September,2016,KF,cord,C-4,absent,cordgrass,KF1,pickleweed,0,19.8
9/8/16,September,2016,KF,cord,C-5,absent,cordgrass,KF1,pickleweed,0,65.2
9/8/16,September,2016,KF,cord,C-6,absent,cordgrass,KF1,pickleweed,0,99.8
9/8/16,September,2016,KF,cord,C-7,absent,cordgrass,KF1,pickleweed,0,79
9/6/16,September,2016,SDL,cord,C-1,absent,cordgrass,SDL1,cordgrass,164.7,164.7
9/6/16,September,2016,SDL,cord,C-2,absent,cordgrass,SDL1,cordgrass,127,127
9/6/16,September,2016,SDL,cord,C-3,absent,cordgrass,SDL1,cordgrass,115.7,115.7
9/6/16,September,2016,SDL,cord,C-4,absent,cordgrass,SDL1,cordgrass,25.7,25.7
9/6/16,September,2016,SDL,cord,C-5,absent,cordgrass,SDL1,cordgrass,219.8,219.8
9/6/16,September,2016,SDL,cord,C-6,absent,cordgrass,SDL1,cordgrass,97.8,97.8
9/6/16,September,2016,SDL,cord,C-7,absent,cordgrass,SDL1,cordgrass,150.7,150.7
9/6/16,September,2016,SDL,cord,C-8,absent,cordgrass,SDL1,cordgrass,186.9,186.9
9/6/16,September,2016,SDL,cord,C-1,absent,cordgrass,SDL1,pickleweed,0,164.7
9/6/16,September,2016,SDL,cord,C-2,absent,cordgrass,SDL1,pickleweed,0,127
9/6/16,September,2016,SDL,cord,C-3,absent,cordgrass,SDL1,pickleweed,0,115.7
9/6/16,September,2016,SDL,cord,C-4,absent,cordgrass,SDL1,pickleweed,0,25.7
9/6/16,September,2016,SDL,cord,C-5,absent,cordgrass,SDL1,pickleweed,0,219.8
9/6/16,September,2016,SDL,cord,C-6,absent,cordgrass,SDL1,pickleweed,0,97.8
9/6/16,September,2016,SDL,cord,C-7,absent,cordgrass,SDL1,pickleweed,0,150.7
9/6/16,September,2016,SDL,cord,C-8,absent,cordgrass,SDL1,pickleweed,0,186.9
9/7/17,September,2017,SDL,cord,C+10,present,mixed,SDL2,cordgrass,226.565,372.1171
9/7/17,September,2017,SDL,cord,C+9,present,mixed,SDL2,cordgrass,388.7577,550.8076
9/7/17,September,2017,SDL,cord,C+8,present,mixed,SDL2,cordgrass,156.9494,286.3862
