Code,Assemblage,Species,Final dry biomass (g),Initial dry biomass (g),Growth (g),Live.Stem.Num,Plot
6,Cordgrass,Pickleweed,13.4223,23.0185,-9.5962,34,C-6
6,Cordgrass,Cordgass,70.2351,18.6416,51.5935,34,C-6
6,Cordgrass,total,83.6574,,,34,C-6
9,Mixed,Pickleweed,11.8842,23.0185,-11.1343,36,C+9
9,Mixed,Cordgass,43.0451,18.6416,24.4035,36,C+9
9,Mixed,total,54.9293,,,36,C+9
10,Pickleweed,Pickleweed,4.0947,23.0185,-18.9238,0,P-10
10,Pickleweed,Cordgass,17.333,18.6416,-1.3086,0,P-10
10,Pickleweed,total,21.4277,,,0,P-10
1,Pickleweed,Pickleweed,12.8022,23.0185,-10.2163,0,P-1
1,Pickleweed,Cordgass,45.4786,18.6416,26.837,0,P-1
1,Pickleweed,total,58.2808,,,0,P-1
2,Mixed,Pickleweed,6.5004,23.0185,-16.5181,32,C+2
2,Mixed,Cordgass,160.8909,18.6416,142.2493,32,C+2
2,Mixed,total,167.3913,,,32,C+2
7,Mixed,Pickleweed,42.2273,23.0185,19.2088,28,C+7
7,Mixed,Cordgass,26.3677,18.6416,7.7261,28,C+7
8,Mixed,total,68.595,,,29,C+8
10,Mixed,Pickleweed,2.4319,23.0185,-20.5866,44,P+10 
10,Mixed,Cordgass,21.061,18.6416,2.4194,44,P+10 
11,Mixed,total,23.4929,,,45,P+11
6,Mixed,Pickleweed,6.1265,23.0185,-16.892,38,P+6
6,Mixed,Cordgass,24.5301,18.6416,5.8885,38,P+6
6,Mixed,total,30.6566,,,38,P+6
5,Mixed,Pickleweed,6.5959,23.0185,-16.4226,34,C+5
5,Mixed,Cordgass,65.6795,18.6416,47.0379,34,C+5
6,Mixed,total,72.2754,,,35,C+6
1,Cordgrass,Pickleweed,8.9101,23.0185,-14.1084,31,C-1
1,Cordgrass,Cordgass,98.3481,18.6416,79.7065,31,C-1
1,Cordgrass,total,107.2582,,,31,C-1
8,Cordgrass,Pickleweed,4.9733,23.0185,-18.0452,51,C-8
8,Cordgrass,Cordgass,36.6586,18.6416,18.017,51,C-8
8,Cordgrass,total,41.6319,,,51,C-8
4,Mixed,Pickleweed,7.5469,23.0185,-15.4716,29,P+4
4,Mixed,Cordgass,28.5633,18.6416,9.9217,29,P+4
5,Mixed,total,36.1102,,,30,P+5
9,Pickleweed,Pickleweed,10.1911,23.0185,-12.8274,0,P-9
9,Pickleweed,Cordgass,22.2721,18.6416,3.6305,0,P-9
9,Pickleweed,total,32.4632,,,0,P-9
3,Cordgrass,Pickleweed,31.8644,23.0185,8.8459,46,C-3
3,Cordgrass,Cordgass,74.1152,18.6416,55.4736,46,C-3
3,Cordgrass,total,105.9796,,,46,C-3
6,Pickleweed,Pickleweed,18.1747,23.0185,-4.8438,0,P-6
6,Pickleweed,Cordgass,27.6519,18.6416,9.0103,0,P-6
6,Pickleweed,total,45.8266,,,0,P-6
3,Mixed,Pickleweed,20.8812,23.0185,-2.1373,30,P+3
3,Mixed,Cordgass,39.3783,18.6416,20.7367,30,P+3
3,Mixed,total,60.2595,,,30,P+3
10,Mixed,Pickleweed,21.368,23.0185,-1.6505,27,C+10
10,Mixed,Cordgass,63.5789,18.6416,44.9373,27,C+10
10,Mixed,total,84.9469,,,27,C+10
5,Pickleweed,Pickleweed,24.2156,23.0185,1.1971,0,P-5
5,Pickleweed,Cordgass,43.3181,18.6416,24.6765,0,P-5
5,Pickleweed,total,67.5337,,,0,P-5
9,Cordgrass,Pickleweed,10.8133,23.0185,-12.2052,58,C-9
9,Cordgrass,Cordgass,71.6983,18.6416,53.0567,58,C-9
9,Cordgrass,total,82.5116,,,58,C-9
,,,,,,,
