Date,Month,Year,Site,Rep,Community ,Focal.Plant,Neighbor,SF-L,SF-D,SF-T,Spac,Mud,Other,Total,Corr.SF-L,Corr. SF-D,Corr.Spac,Corr.Mud,Corr.Other,Other Species
5/10/17,May,2017,SDL,C+1,mixed,cordgrass,present,32,33,65,25,10,0,100,0.32,0.33,0.25,0.10,0,
5/10/17,May,2017,SDL,C+2,mixed,cordgrass,present,42,10,52,48,0,0,100,0.42,0.10,0.48,0.00,0,
5/10/17,May,2017,SDL,C+3,mixed,cordgrass,present,29,0,29,70,0,0,99,0.29,0.00,0.71,0.00,0,
5/10/17,May,2017,SDL,C+4,mixed,cordgrass,present,23,14,37,60,3,0,100,0.23,0.14,0.60,0.03,0,
5/10/17,May,2017,SDL,C+5,mixed,cordgrass,present,26,0,26,72,2,0,100,0.26,0.00,0.72,0.02,0,
5/10/17,May,2017,SDL,C+6,mixed,cordgrass,present,24,2,26,71,2,0,99,0.24,0.02,0.72,0.02,0,
5/10/17,May,2017,SDL,C+7,mixed,cordgrass,present,23,4,27,66,7,0,100,0.23,0.04,0.66,0.07,0,
5/10/17,May,2017,SDL,C+8,mixed,cordgrass,present,32,13,45,51,4,0,100,0.32,0.13,0.51,0.04,0,
5/10/17,May,2017,SDL,C+9,mixed,cordgrass,present,15,14,29,70,0,0,99,0.15,0.14,0.71,0.00,0,
5/10/17,May,2017,SDL,C+10,mixed,cordgrass,present,13,28,41,57,1,0,99,0.13,0.28,0.58,0.01,0,
5/10/17,May,2017,SDL,C-1,cordgrass,cordgrass,absent,31,25,56,49,0,0,105,0.30,0.24,0.47,0.00,0,
5/10/17,May,2017,SDL,C-2,cordgrass,cordgrass,absent,26,23,49,43,8,0,100,0.26,0.23,0.43,0.08,0,
5/10/17,May,2017,SDL,C-3,cordgrass,cordgrass,absent,62,8,70,29,0,0,99,0.63,0.08,0.29,0.00,0,
5/10/17,May,2017,SDL,C-4,cordgrass,cordgrass,absent,43,1,44,54,1,0,99,0.43,0.01,0.55,0.01,0,
5/10/17,May,2017,SDL,C-5,cordgrass,cordgrass,absent,64,2,66,32,0,0,98,0.65,0.02,0.33,0.00,0,
5/10/17,May,2017,SDL,C-6,cordgrass,cordgrass,absent,30,1,31,69,0,0,100,0.30,0.01,0.69,0.00,0,
5/10/17,May,2017,SDL,C-7,cordgrass,cordgrass,absent,32,3,35,65,1,0,101,0.32,0.03,0.64,0.01,0,
5/10/17,May,2017,SDL,C-8,cordgrass,cordgrass,absent,33,11,44,48,7,0,99,0.33,0.11,0.48,0.07,0,
5/10/17,May,2017,SDL,C-9,cordgrass,cordgrass,absent,50,11,61,39,1,0,101,0.50,0.11,0.39,0.01,0,
5/10/17,May,2017,SDL,C-10,cordgrass,cordgrass,absent,16,8,24,64,7,0,95,0.17,0.08,0.67,0.07,0,
5/10/17,May,2017,SDL,P+1,mixed,pickleweed,present,43,26,69,25,6,0,100,0.43,0.26,0.25,0.06,0,
5/10/17,May,2017,SDL,P+2,mixed,pickleweed,present,35,13,48,52,0,0,100,0.35,0.13,0.52,0.00,0,
5/10/17,May,2017,SDL,P+3,mixed,pickleweed,present,35,4,39,59,1,0,99,0.35,0.04,0.60,0.01,0,
5/10/17,May,2017,SDL,P+4,mixed,pickleweed,present,15,5,20,72,8,0,100,0.15,0.05,0.72,0.08,0,
5/10/17,May,2017,SDL,P+5,mixed,pickleweed,present,35,0,35,64,0,0,99,0.35,0.00,0.65,0.00,0,
5/10/17,May,2017,SDL,P+6,mixed,pickleweed,present,41,0,41,59,2,0,102,0.40,0.00,0.58,0.02,0,
5/10/17,May,2017,SDL,P+7,mixed,pickleweed,present,24,13,37,57,5,0,99,0.24,0.13,0.58,0.05,0,
5/10/17,May,2017,SDL,P+8,mixed,pickleweed,present,43,4,47,50,2,0,99,0.43,0.04,0.51,0.02,0,
5/10/17,May,2017,SDL,P+9,mixed,pickleweed,present,12,18,30,70,1,0,101,0.12,0.18,0.69,0.01,0,
5/10/17,May,2017,SDL,P+10,mixed,pickleweed,present,15,6,21,78,2,0,101,0.15,0.06,0.77,0.02,0,
5/10/17,May,2017,SDL,P-1,pickleweed,pickleweed,absent,15,43,58,39,2,0,99,0.15,0.43,0.39,0.02,0,
5/10/17,May,2017,SDL,P-2,pickleweed,pickleweed,absent,26,8,34,60,5,0,99,0.26,0.08,0.61,0.05,0,
5/10/17,May,2017,SDL,P-3,pickleweed,pickleweed,absent,50,31,81,24,0,0,105,0.48,0.30,0.23,0.00,0,
5/10/17,May,2017,SDL,P-4,pickleweed,pickleweed,absent,47,8,55,45,0,0,100,0.47,0.08,0.45,0.00,0,
5/10/17,May,2017,SDL,P-5,pickleweed,pickleweed,absent,37,6,43,54,4,0,101,0.37,0.06,0.53,0.04,0,
5/10/17,May,2017,SDL,P-6,pickleweed,pickleweed,absent,45,0,45,58,1,0,104,0.43,0.00,0.56,0.01,0,
5/10/17,May,2017,SDL,P-7,pickleweed,pickleweed,absent,35,0,35,59,1,0,95,0.37,0.00,0.62,0.01,0,
5/10/17,May,2017,SDL,P-8,pickleweed,pickleweed,absent,26,13,39,59,2,0,100,0.26,0.13,0.59,0.02,0,
5/10/17,May,2017,SDL,P-9,pickleweed,pickleweed,absent,46,7,53,46,2,0,101,0.46,0.07,0.46,0.02,0,
5/10/17,May,2017,SDL,P-10,pickleweed,pickleweed,absent,24,6,30,64,6,0,100,0.24,0.06,0.64,0.06,0,
5/10/16,May,2016,SDL,C+1,mixed,cordgrass,present,14,50,64,30,6,0,100,0.14,0.50,0.30,0.06,0,
5/10/16,May,2016,SDL,C+2,mixed,cordgrass,present,28,35,63,30,7,0,100,0.28,0.35,0.30,0.07,0,
