Date,Month,Year,Site,Rep,Focal.Plant,Neighbor,StemHeight,StemHeight,StemHeight,StemHeight,StemHeight,StemHeight,StemHeight,StemHeight,StemHeight,StemHeight,Avg.SH,Live.Stem.Num,Dead.Stem.Num,Flowers,CanopyHeight,CanopyHeight,Avg.CH,,,
5/10/17,May,2017,SDL,C-1,cordgrass,absent,39.2,18.4,32.4,38.1,14.5,18.6,12.2,21.3,15.7,18.3,22.87,21,23,0,48,39.7,43.85,,,Initial metrics taken before weeding for all plots
5/10/17,May,2017,SDL,C-2,cordgrass,absent,11.9,14.4,22.9,21.1,19.4,16.3,27.2,14.3,30.2,19.4,19.71,30,36,0,39.1,39.4,39.25,,,note: I am adding in C +  and P + initial live stem densities for SDL 2017 as these are absent from initial plot metrics tab in Master spreadsheet. 
5/10/17,May,2017,SDL,C-3,cordgrass,absent,28.6,27.1,28.9,22.4,21.4,23.2,22.8,44.3,21.4,17.8,25.79,32,22,0,41,41.2,41.1,,,
5/10/17,May,2017,SDL,C-4,cordgrass,absent,28.4,35.1,34.7,23.5,17.2,31.7,24.6,27.4,18.3,29.7,27.06,25,13,0,52.1,54.3,53.2,,,
5/10/17,May,2017,SDL,C-5,cordgrass,absent,24.2,22.2,32.9,29.7,24.3,22.7,33.1,20.5,24.3,17.8,25.17,31,10,0,47.3,45.2,46.25,,,
5/10/17,May,2017,SDL,C-6,cordgrass,absent,26.1,26.9,37.3,40.8,30.1,23.7,30.9,21.7,36.5,29.8,30.38,16,11,0,52.2,49.6,50.9,,,
5/10/17,May,2017,SDL,C-7,cordgrass,absent,26.1,15.3,28.2,22.3,21.4,38.7,37.6,23.4,27.6,22.9,26.35,17,10,0,69.1,44.3,56.7,,,
5/10/17,May,2017,SDL,C-8,cordgrass,absent,23.5,20.2,25.5,25,26,27,17.5,26.2,20.2,27.5,23.86,25,11,0,62.1,54.3,58.2,,,
5/10/17,May,2017,SDL,C-9,cordgrass,absent,19.5,29.5,28.9,23.4,24,28.1,31.4,28.4,22,31.4,26.66,47,14,0,49.2,67,58.1,,,
5/10/17,May,2017,SDL,C-10,cordgrass,absent,18,15.2,15.9,22.3,18.2,23.5,17.9,29.8,20.5,27.5,20.88,43,11,0,53.1,51.5,52.3,,,
,,2017,SDL,C+1,cordgrass,present,,,,,,,,,,,,24,,,,,,,,
,,2017,SDL,C+2,cordgrass,present,,,,,,,,,,,,37,,,,,,,,
,,2017,SDL,C+3,cordgrass,present,,,,,,,,,,,,20,,,,,,,,
,,2017,SDL,C+4,cordgrass,present,,,,,,,,,,,,19,,,,,,,,
,,2017,SDL,C+5,cordgrass,present,,,,,,,,,,,,20,,,,,,,,
,,2017,SDL,C+6,cordgrass,present,,,,,,,,,,,,27,,,,,,,,
,,2017,SDL,C+7,cordgrass,present,,,,,,,,,,,,22,,,,,,,,
,,2017,SDL,C+8,cordgrass,present,,,,,,,,,,,,23,,,,,,,,
,,2017,SDL,C+9,cordgrass,present,,,,,,,,,,,,24,,,,,,,,
,,2017,SDL,C+10,cordgrass,present,,,,,,,,,,,,36,,,,,,,,
