Date,Month,Year,Site,Site_ID,Rep,Focal.Plant,Neighbor,SF-L,SF-D,Spac,Mud,Other,Total,Corr.SF-L,Corr.SF-D,Corr.Spac,Corr.Mud,Corr.Other,Other.Species
42961,August,2017,SDL,SDL2,P+1,pickleweed,present,39,19,21,22,0,101,0.386138614,0.188118812,0.207920792,0.217821782,0,
42961,August,2017,SDL,SDL2,C-1,cordgrass,absent,37,13,50,0,0,100,0.37,0.13,0.5,0,0,
42961,August,2017,SDL,SDL2,P-1,pickleweed,absent,0,0,72,28,0,100,0,0,0.72,0.28,0,
42961,August,2017,SDL,SDL2,C-2,cordgrass,absent,44,30,0,26,0,100,0.44,0.3,0,0.26,0,
42961,August,2017,SDL,SDL2,P-2,pickleweed,absent,0,0,73,27,0,100,0,0,0.73,0.27,0,
42961,August,2017,SDL,SDL2,C+1,cordgrass,present,28,17,43,12,0,100,0.28,0.17,0.43,0.12,0,
42961,August,2017,SDL,SDL2,P-3,pickleweed,absent,0,0,49,51,0,100,0,0,0.49,0.51,0,
42961,August,2017,SDL,SDL2,P-4,pickleweed,absent,0,0,83,17,0,100,0,0,0.83,0.17,0,
42961,August,2017,SDL,SDL2,C-3,cordgrass,absent,77,12,0,11,0,100,0.77,0.12,0,0.11,0,
42961,August,2017,SDL,SDL2,C-4,cordgrass,absent,70,7,0,23,0,100,0.7,0.07,0,0.23,0,
42961,August,2017,SDL,SDL2,P+2,pickleweed,present,27,5,62,6,0,100,0.27,0.05,0.62,0.06,0,
42961,August,2017,SDL,SDL2,P-5,pickleweed,absent,0,0,66,34,0,100,0,0,0.66,0.34,0,
42961,August,2017,SDL,SDL2,C+2,cordgrass,present,32,4,57,7,0,100,0.32,0.04,0.57,0.07,0,
42961,August,2017,SDL,SDL2,C+3,cordgrass,present,28,4,59,8,0,99,0.282828283,0.04040404,0.595959596,0.080808081,0,
42961,August,2017,SDL,SDL2,C+4,cordgrass,present,15,3,77,5,0,100,0.15,0.03,0.77,0.05,0,
42961,August,2017,SDL,SDL2,P+3,pickleweed,present,32,9,58,0,0,99,0.323232323,0.090909091,0.585858586,0,0,
42961,August,2017,SDL,SDL2,C-5,cordgrass,absent,73,4,0,23,0,100,0.73,0.04,0,0.23,0,
42961,August,2017,SDL,SDL2,P-6,pickleweed,absent,0,0,91,9,0,100,0,0,0.91,0.09,0,
42961,August,2017,SDL,SDL2,P+4,pickleweed,present,18,8,64,10,0,100,0.18,0.08,0.64,0.1,0,
